NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"González Vázquez, Marta",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,A Coruña,F,,,,,,,,,,x,,
"González Vázquez, Sebastián",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Ávila,M,,,,,,,x,,,,,
"González Veracruz, María",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,F,,,,,,,,,,x,,
"Gordo Pérez, Juan Luis",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Segovia,M,,,,,,,,,,x,,
"Grande Pesquero, Pilar",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,F,,,,,,,,,,x,,
"Grau Reinés, Juan Carlos",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Illes Balears,M,,,,,,,,,,x,,
"Guaita Vañó, Inmaculada",2813.87,,,,,,1823.86,4637.73,64928.22,Valencia,F,,,,,,,,,,,,
"Guerra González, Alfonso",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Sevilla,M,,,,,,,x,,,,,
"Guillaumes i Ràfols, Feliu-Joan",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Guillén Izquierdo, Vicente",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Teruel,M,,,,,,,,,x,,x,
"Gutiérrez del Castillo, María Concepción",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Jaén,F,,,,,,,,x,,,,
"Gutiérrez Molina, Antonio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Melilla,M,,,,,,,,x,,,,
"Heredia Díaz, Miguel Ángel",2813.87,0,0,0,2087.07,0,1823.86,6724.8,94147.2,Málaga,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Heredia Martín, Silvia",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,x,,,
"Hernández Gutiérrez, Patricia",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,F,,,,,,,,,x,,x,
"Hernando Fraile, Rafael Antonio",2813.87,0,0,0,2087.07,0,1823.86,6724.8,94147.2,Almería,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Hernando Vera, Antonio",2813.87,0,0,0,2667.5,0,870.56,6351.93,88927.02,Madrid,M,x,,,,x,,,,,,,
"Hernanz Costa, Sofía",2813.87,0,0,0,2087.07,0,1823.86,6724.8,94147.2,Illes Balears,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
